,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_30074,35.1659204706341,-1.90126152385977,0.462798720458175,-4.10818232595264,3.98785241059779e-05,0.00216221210277385,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10260,42.5546043505692,-1.48021577122813,0.435797427402244,-3.39656840117572,0.000682365006284857,0.0166244291772041,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5100,23.8631374532203,-1.76428565259066,0.539580082985544,-3.26973828023584,0.00107647031485265,0.0231326767366835,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9099,25.1105000338274,-1.87360588923304,0.543906241342967,-3.44472217234885,0.00057164663013584,0.0146446380801525,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_36695,16.5506883408822,-1.97297201247743,0.648164966458215,-3.04393497732281,0.00233505603719998,0.0395920223925936,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_5111,35.3620852865144,-1.86623258959324,0.454046610813574,-4.11022248629776,3.95278076222614e-05,0.00214716514996999,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10277,40.261819084164,1.4016433587294,0.45826268068864,3.0586024518146,0.0022237202822155,0.0383667929535532,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10278,165.856407159899,1.47278607055915,0.259029715166743,5.68578037315561,1.30216656263869e-08,4.71421652054778e-06,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10279,35.7661954833849,1.46043599993145,0.472370755225029,3.09171553017866,0.00199003456173353,0.0355287180762809,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10282,41.8845176263751,2.70417822137556,0.510152031662664,5.30073008346596,1.15340505671481e-07,2.58265881897828e-05,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10283,30.4492355044335,2.27183064801966,0.545444164919854,4.16510212067899,3.11213229997927e-05,0.00176915071231186,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7231,33.7968173339066,1.76551229767235,0.509661252195135,3.46408970677721,0.000532029057481458,0.0138596876936977,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_26279,89.4216242482201,1.2403307526461,0.314614279832515,3.9423854292513,8.06751915095572e-05,0.00356929923461515,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10287,53.7408770683995,1.46213127127158,0.384554989286802,3.80213834693253,0.000143452580211899,0.00549333490255303,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_38127,39.2167795827886,-1.38722816709971,0.428129269142657,-3.24020866379373,0.00119442258513097,0.0249544143088652,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10302,19.8986104183554,-1.92191608089366,0.595177851012911,-3.22914583871497,0.00124160560681234,0.0256840742345743,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10305,73.8963794082036,-1.52952521245649,0.323033433551795,-4.73488206975717,2.19182506985611e-06,0.000243533351417004,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10309,44.8111891380148,1.57988998912061,0.427596724640715,3.69481312198568,0.000220048569804201,0.00743627269362515,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_2117,27.7232061354684,-1.67028993495192,0.498858957972083,-3.34822079118682,0.0008133218745767,0.0188743437871506,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_2119,18.3485482024422,-1.96294975003363,0.618809206811023,-3.1721405053902,0.00151319776662998,0.0292209546336782,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_2122,88.4621338624173,-0.999066502984324,0.295815306888801,-3.37733200317413,0.000731926477766653,0.0173842909897403,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9145,29.5457305921414,-1.88695541799269,0.490445120147111,-3.84743438251907,0.000119361231459749,0.00480678467745341,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7245,41.9856586134404,-1.3717759945622,0.407575573577247,-3.36569726817108,0.000763504518014965,0.0179310472593539,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_26302,16.1430950968417,-2.00179322752222,0.665235377616799,-3.00915028706626,0.00261979489108672,0.0426195370999641,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9158,52.8262110834235,1.58681941456423,0.395882003761857,4.00831409229397,6.11537517533356e-05,0.00295522734790872,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9159,31.7877875455589,2.03463504117819,0.525028203906474,3.87528712941416,0.000106499045993809,0.00444372192907028,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9160,54.0239895639951,2.69012565649482,0.449920617030556,5.97911176920378,2.24357585785285e-09,1.20268938246117e-06,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9161,68.1480635375078,1.98379106764799,0.37416841243683,5.30186675761388,1.14624491430813e-07,2.58265881897828e-05,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9162,72.1903211245575,1.86007379814438,0.379739794755644,4.89828515165577,9.66766687383317e-07,0.00013503889162388,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9163,24.4520216272223,2.45526570594852,0.620081909985714,3.95958286543965,7.50807897774659e-05,0.00337265667158102,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9166,24.8042139460096,1.89788847609333,0.576536813844811,3.29187734506785,0.00099521005832401,0.0219103597816655,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_7259,36.211255605914,-2.075545891632,0.456281128699888,-4.54883132586699,5.39446586515539e-06,0.000481038094246718,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_9173,35.4614326427598,1.41611580822123,0.462561120463614,3.06146743764779,0.00220254947402379,0.0381389514294803,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34829,15.4068499211806,-2.26672821948418,0.692605564954121,-3.27275484659777,0.00106504810396356,0.0230221488825077,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32625,21.4548044572088,-2.42169172164321,0.602307233920492,-4.02069174211991,5.80274961475763e-05,0.00283686757416143,6hrs_72hrs.H3K27ac.DESeq2_results.csv
